Region,Quadrat,Taxa,Count
High-Disturbance,1,A,1
High-Disturbance,1,B,2
High-Disturbance,1,C,7
High-Disturbance,1,D,2
High-Disturbance,2,E,2
High-Disturbance,2,D,9
High-Disturbance,2,B,4
High-Disturbance,3,A,2
High-Disturbance,3,B,3
High-Disturbance,3,C,7
High-Disturbance,4,A,3
High-Disturbance,4,B,14
High-Disturbance,5,A,6
High-Disturbance,5,B,3
High-Disturbance,5,C,4
High-Disturbance,6,A,3
High-Disturbance,6,B,8
High-Disturbance,6,C,1
High-Disturbance,7,A,2
High-Disturbance,7,B,1
High-Disturbance,7,C,2
High-Disturbance,7,D,7
High-Disturbance,8,A,1
High-Disturbance,8,B,11
High-Disturbance,8,C,1
Low-Disturbance,1,A,1
Low-Disturbance,1,B,1
Low-Disturbance,1,C,3
Low-Disturbance,2,A,2
Low-Disturbance,2,B,1
Low-Disturbance,2,C,4
Low-Disturbance,2,D,25
Low-Disturbance,2,E,1
Low-Disturbance,2,F,10
Low-Disturbance,2,G,2
Low-Disturbance,2,H,6
Low-Disturbance,3,A,2
Low-Disturbance,3,B,2
Low-Disturbance,3,C,1
Low-Disturbance,4,A,16
Low-Disturbance,4,B,10
Low-Disturbance,4,C,1
Low-Disturbance,4,D,3
Low-Disturbance,4,E,1
Low-Disturbance,4,F,2
Low-Disturbance,4,G,1
Low-Disturbance,4,H,5
Low-Disturbance,5,A,1
Low-Disturbance,5,B,1
Low-Disturbance,5,C,2
Low-Disturbance,5,D,5
Low-Disturbance,5,E,1
Low-Disturbance,5,F,2
Low-Disturbance,5,G,1
Low-Disturbance,6,A,4
Low-Disturbance,6,B,3
Low-Disturbance,6,C,16
Low-Disturbance,6,D,4
Low-Disturbance,6,E,1
Low-Disturbance,6,F,3
Low-Disturbance,6,G,2
Low-Disturbance,7,A,1
Low-Disturbance,7,B,5
Low-Disturbance,7,C,2
Mid-Disturbance,1,A,6
Mid-Disturbance,1,B,13
Mid-Disturbance,1,C,2
Mid-Disturbance,1,D,5
Mid-Disturbance,1,E,48
Mid-Disturbance,2,A,7
Mid-Disturbance,2,B,2
Mid-Disturbance,2,C,18
Mid-Disturbance,2,D,10
Mid-Disturbance,3,A,3
Mid-Disturbance,3,B,7
Mid-Disturbance,3,C,13
Mid-Disturbance,3,D,10
Mid-Disturbance,3,E,4
Mid-Disturbance,4,A,3
Mid-Disturbance,4,B,1
Mid-Disturbance,4,C,2
Mid-Disturbance,4,D,3
Mid-Disturbance,5,A,4
Mid-Disturbance,5,B,1
Mid-Disturbance,5,C,22
Mid-Disturbance,5,D,5
Mid-Disturbance,6,A,5
Mid-Disturbance,6,B,3
Mid-Disturbance,6,C,1
Mid-Disturbance,6,D,2
Mid-Disturbance,7,A,4
Mid-Disturbance,7,B,3
Mid-Disturbance,7,C,2
Mid-Disturbance,7,D,28
Mid-Disturbance,8,A,1
Mid-Disturbance,8,B,1
Mid-Disturbance,8,C,1
Mid-Disturbance,8,D,42
Mid-Disturbance,9,A,7
Mid-Disturbance,9,B,60
Mid-Disturbance,9,C,75
Mid-Disturbance,9,D,4
Mid-Disturbance,10,A,1
Mid-Disturbance,10,B,6
Mid-Disturbance,10,C,5
